order_id,user_id,order_time,order_amount,order_status,pay_status,source_channel,province
1,3045,2026-03-24 11:09:28,123.79,已取消,未支付,app,河南
2,6258,2026-03-17 08:19:47,1952.58,已取消,未支付,app,福建
3,6641,2026-03-23 01:56:49,1047.42,待支付,未支付,web,北京
4,9533,2026-03-18 07:26:34,931.32,已完成,已支付,web,四川
5,9205,2026-03-04 14:14:31,604.88,已取消,未支付,mini_program,上海
6,851,2026-03-12 10:42:51,1468.97,已支付,已支付,mini_program,湖北
7,9365,2026-03-19 22:50:43,1768.25,已完成,已支付,mini_program,江苏
8,5993,2026-03-20 07:07:23,2042.34,已支付,已支付,mini_program,福建
9,6321,2026-03-08 09:21:14,436.2,已支付,已支付,app,上海
10,830,2026-03-25 08:35:25,1829.29,已取消,未支付,app,福建
11,1306,2026-03-25 02:53:39,1813.74,已取消,未支付,web,河南
12,7726,2026-03-11 16:46:15,84.48,已支付,已支付,web,湖北
13,6597,2026-03-15 11:40:46,620.73,待支付,未支付,web,浙江
14,5996,2026-03-12 09:31:42,1006.09,已支付,已支付,app,湖北
15,3588,2026-03-25 13:02:47,1533.93,待支付,未支付,app,山东
16,6606,2026-03-25 01:10:08,1989.53,已支付,已支付,app,四川
17,8493,2026-03-14 08:05:59,2777.07,已支付,已支付,app,河南
18,501,2026-03-18 09:15:54,1363.57,已取消,未支付,web,上海
19,9285,2026-03-24 18:02:43,920.62,已完成,已支付,app,河南
20,3934,2026-03-18 06:34:09,1470.16,已完成,已支付,app,广东
21,7882,2026-03-18 02:35:23,2623.25,已完成,已支付,app,四川
22,4287,2026-03-11 15:19:25,2513.84,已支付,已支付,app,广东
23,4783,2026-03-21 06:46:08,1331.22,已支付,已支付,web,河南
24,7824,2026-03-25 11:38:12,1639.45,已支付,已支付,app,广东
25,3466,2026-03-25 21:56:31,2813.0,已完成,已支付,mini_program,江苏
26,1287,2026-03-11 18:15:39,638.03,已支付,已支付,app,福建
27,6330,2026-03-19 08:45:25,786.69,已完成,已支付,app,河南
28,560,2026-03-25 03:03:31,2851.32,已完成,已支付,mini_program,山东
29,9566,2026-03-18 06:21:50,704.28,已退款,已退款,mini_program,江苏
30,2881,2026-03-17 03:20:50,1263.76,已完成,已支付,web,河南
31,509,2026-03-23 03:24:23,2675.03,已取消,未支付,web,福建
32,7062,2026-03-25 08:35:27,2917.33,已支付,已支付,app,湖北
33,9843,2026-03-21 23:09:05,1941.06,待支付,未支付,web,湖北
34,7556,2026-03-25 01:22:52,2322.7,已完成,已支付,app,广东
35,8837,2026-03-23 00:42:51,1644.45,已完成,已支付,app,山东
36,632,2026-03-25 22:49:55,436.24,已支付,已支付,app,广东
37,4185,2026-03-25 06:24:44,311.96,已完成,已支付,mini_program,河南
38,9819,2026-03-21 17:34:38,1274.13,已完成,已支付,mini_program,江苏
39,8812,2026-03-17 23:48:18,2503.39,已取消,未支付,app,北京
40,3525,2026-03-10 06:20:41,2294.79,已支付,已支付,app,广东
41,1995,2026-03-12 04:56:08,2477.89,已完成,已支付,app,福建
42,8966,2026-03-06 07:48:12,1246.87,已完成,已支付,mini_program,广东
43,7093,2026-03-12 18:09:57,55.81,已支付,已支付,app,山东
44,6208,2026-03-23 07:26:03,1354.04,已取消,未支付,mini_program,北京
45,3502,2026-02-26 05:26:47,1840.61,已完成,已支付,web,北京
46,5138,2026-03-25 08:07:49,393.15,已完成,已支付,app,广东
47,7330,2026-03-25 20:20:52,1501.93,已完成,已支付,web,上海
48,9218,2026-03-10 00:57:28,2381.42,已完成,已支付,app,山东
49,4798,2026-03-04 12:55:51,592.78,已完成,已支付,web,广东
50,8509,2026-03-22 15:52:28,287.82,已完成,已支付,mini_program,江苏
51,7164,2026-03-19 17:39:16,1622.36,已完成,已支付,mini_program,浙江
52,2969,2026-03-11 05:46:13,132.69,已完成,已支付,app,湖北
53,9308,2026-03-19 08:22:01,2020.46,已支付,已支付,app,上海
54,8539,2026-03-25 03:58:18,1036.97,已完成,已支付,app,福建
55,8078,2026-03-15 19:51:39,2535.56,已支付,已支付,app,福建
56,5404,2026-03-01 02:53:08,2878.77,已取消,未支付,app,广东
57,7001,2026-03-05 22:57:13,2660.04,已支付,已支付,app,福建
58,1436,2026-03-21 13:38:18,1086.56,已支付,已支付,mini_program,湖北
59,2211,2026-03-18 00:26:52,1830.7,已完成,已支付,web,浙江
60,4430,2026-03-22 01:26:31,2315.42,已完成,已支付,app,四川
61,6170,2026-03-12 18:20:46,514.97,已完成,已支付,app,四川
62,4233,2026-02-26 01:54:10,518.24,已支付,已支付,mini_program,浙江
63,122,2026-03-19 23:14:38,833.75,已完成,已支付,app,上海
64,3305,2026-02-26 12:49:49,747.09,已完成,已支付,app,北京
65,6257,2026-03-20 21:05:17,2006.43,已完成,已支付,app,福建
66,9242,2026-03-01 21:18:16,2420.21,已支付,已支付,app,江苏
67,1677,2026-03-19 20:32:03,162.89,已支付,已支付,app,广东
68,1835,2026-03-23 16:01:32,998.87,已支付,已支付,app,广东
69,5498,2026-03-04 19:35:45,2666.89,已取消,未支付,app,四川
70,5810,2026-03-25 05:25:17,1632.4,已完成,已支付,mini_program,上海
71,5509,2026-03-25 22:22:07,463.0,已支付,已支付,app,北京
72,9439,2026-03-24 15:55:46,2071.57,已完成,已支付,app,江苏
73,1346,2026-03-20 17:04:21,245.22,已完成,已支付,mini_program,上海
74,7437,2026-03-20 06:22:00,2191.41,已完成,已支付,mini_program,上海
75,3830,2026-02-27 21:22:43,1444.87,已完成,已支付,mini_program,北京
76,8680,2026-03-25 21:14:41,2744.06,已完成,已支付,web,湖北
77,6503,2026-03-22 18:32:51,42.26,已支付,已支付,mini_program,浙江
78,1054,2026-03-20 07:02:32,372.12,已支付,已支付,mini_program,江苏
79,6374,2026-03-24 19:07:57,2917.98,已完成,已支付,mini_program,湖北
80,5502,2026-03-23 13:15:37,1792.51,已支付,已支付,app,上海
81,7584,2026-03-25 10:47:16,2697.93,待支付,未支付,mini_program,广东
82,9099,2026-03-22 13:31:18,1670.98,已支付,已支付,app,浙江
83,2934,2026-03-20 11:10:33,695.74,已完成,已支付,app,江苏
84,9918,2026-03-09 17:27:27,566.84,已完成,已支付,app,河南
85,6746,2026-03-21 10:06:26,456.02,已取消,未支付,mini_program,山东
86,8894,2026-03-15 01:16:41,2856.83,已支付,已支付,mini_program,上海
87,2696,2026-03-05 15:51:53,1602.76,已完成,已支付,app,河南
88,9535,2026-03-20 05:41:02,1829.22,已支付,已支付,web,四川
89,3557,2026-03-24 13:12:27,869.95,已完成,已支付,mini_program,广东
90,2452,2026-03-17 23:30:46,2697.63,已完成,已支付,app,江苏
91,4964,2026-03-14 10:36:04,416.07,已完成,已支付,mini_program,四川
92,2099,2026-03-19 13:40:52,143.09,已取消,未支付,app,山东
93,1136,2026-03-22 02:51:06,2691.7,已完成,已支付,mini_program,上海
94,1460,2026-03-20 17:06:24,2903.98,待支付,未支付,mini_program,上海
95,4946,2026-03-20 06:25:53,2939.87,已退款,已退款,mini_program,浙江
96,3361,2026-03-11 08:29:38,962.79,已取消,未支付,web,广东
97,9044,2026-03-22 16:16:41,1613.3,已完成,已支付,app,上海
98,2741,2026-03-21 06:08:04,2516.01,已取消,未支付,web,四川
99,7758,2026-03-12 16:58:12,21.19,已支付,已支付,web,江苏
100,3391,2026-03-22 17:46:03,1378.84,已支付,已支付,app,河南
101,2723,2026-03-23 23:08:21,1472.6,已完成,已支付,app,上海
102,3877,2026-03-24 20:56:26,1431.06,已取消,未支付,app,湖北
103,3086,2026-03-22 18:39:32,1115.55,已完成,已支付,app,浙江
104,3823,2026-03-22 19:07:21,1354.65,已完成,已支付,mini_program,河南
105,8773,2026-03-20 18:38:55,2990.71,已支付,已支付,web,浙江
106,4488,2026-03-08 22:03:30,2801.32,已支付,已支付,mini_program,四川
107,5782,2026-03-21 21:42:22,2415.73,已退款,已退款,mini_program,浙江
108,538,2026-03-18 03:09:47,1407.15,已支付,已支付,mini_program,上海
109,9280,2026-03-17 10:13:15,793.15,已取消,未支付,mini_program,广东
110,5374,2026-03-07 01:48:33,1711.08,已完成,已支付,app,广东
111,1986,2026-03-23 13:55:04,2497.53,已完成,已支付,mini_program,北京
112,8609,2026-03-23 15:41:59,829.92,已完成,已支付,mini_program,广东
113,5969,2026-03-06 08:47:04,502.69,已支付,已支付,mini_program,山东
114,700,2026-03-11 07:52:42,1322.44,已完成,已支付,app,河南
115,2142,2026-03-19 21:36:38,1363.92,已取消,未支付,app,福建
116,517,2026-03-13 09:24:24,2483.78,待支付,未支付,app,浙江
117,8184,2026-03-05 09:04:45,488.08,已支付,已支付,mini_program,上海
118,5964,2026-03-22 08:08:49,2381.9,已完成,已支付,web,浙江
119,2935,2026-03-14 21:55:36,161.91,已取消,未支付,app,上海
120,9111,2026-03-24 15:30:57,1914.28,已支付,已支付,mini_program,四川
121,9588,2026-03-14 18:48:26,2035.68,已支付,已支付,app,四川
122,2446,2026-03-24 15:33:42,225.71,已退款,已退款,app,浙江
123,8783,2026-03-24 13:22:49,2179.09,已完成,已支付,app,北京
124,924,2026-03-08 18:27:49,1195.25,已支付,已支付,mini_program,四川
125,312,2026-03-12 23:48:37,489.05,已支付,已支付,mini_program,河南
126,3269,2026-03-10 23:43:17,2437.6,已完成,已支付,web,四川
127,4258,2026-03-16 06:56:56,1928.99,已取消,未支付,app,北京
128,3150,2026-03-10 13:31:51,1193.03,已取消,未支付,mini_program,山东
129,7725,2026-02-26 07:53:15,2642.22,已取消,未支付,web,江苏
130,7240,2026-03-22 03:44:07,2475.57,已取消,未支付,mini_program,北京
131,2882,2026-03-10 04:40:49,1583.84,已退款,已退款,app,广东
132,1571,2026-03-08 11:10:07,771.46,已支付,已支付,mini_program,福建
133,5702,2026-03-22 21:18:42,1424.39,已完成,已支付,app,河南
134,7842,2026-03-19 04:12:28,705.41,已完成,已支付,app,河南
135,9426,2026-03-24 16:07:48,2196.24,已退款,已退款,web,北京
136,2901,2026-03-25 22:44:22,586.37,已完成,已支付,app,上海
137,8244,2026-03-25 20:01:31,1863.65,已完成,已支付,app,福建
138,3411,2026-03-09 09:45:47,1893.31,已完成,已支付,app,浙江
139,6761,2026-03-20 04:27:11,2984.76,已完成,已支付,app,广东
140,2884,2026-03-24 15:14:14,2079.44,已完成,已支付,app,四川
141,5127,2026-03-17 11:10:08,2016.6,已退款,已退款,mini_program,浙江
142,7927,2026-03-17 19:03:26,2197.66,已完成,已支付,web,浙江
143,2742,2026-03-20 22:22:45,1945.71,已退款,已退款,web,江苏
144,1394,2026-03-21 04:26:27,2623.66,已支付,已支付,web,广东
145,1583,2026-03-20 18:08:54,2490.74,已支付,已支付,mini_program,上海
146,5027,2026-03-13 23:32:12,2596.22,已支付,已支付,app,山东
147,4370,2026-03-10 13:37:07,1140.78,已完成,已支付,web,河南
148,1398,2026-03-21 13:28:30,2528.0,已支付,已支付,app,浙江
149,9208,2026-03-24 11:33:37,1116.32,已取消,未支付,app,江苏
150,6677,2026-03-20 16:18:44,2083.1,已支付,已支付,app,北京
151,3685,2026-03-21 13:07:57,1612.79,已完成,已支付,mini_program,湖北
152,1905,2026-03-24 04:16:42,1926.57,已取消,未支付,mini_program,四川
153,4063,2026-03-25 05:31:02,1853.16,已完成,已支付,mini_program,浙江
154,5698,2026-03-10 02:18:25,1570.61,已支付,已支付,mini_program,福建
155,8691,2026-03-20 08:12:18,668.55,已取消,未支付,app,浙江
156,2199,2026-03-21 09:52:08,2964.91,已取消,未支付,app,山东
157,7114,2026-03-23 10:23:43,2709.36,已完成,已支付,mini_program,北京
158,7638,2026-03-06 20:29:02,2342.4,已支付,已支付,app,山东
159,3245,2026-03-08 04:16:30,115.77,已取消,未支付,mini_program,广东
160,2112,2026-03-17 18:40:13,1704.34,已取消,未支付,app,上海
161,8649,2026-03-23 00:35:35,475.54,已取消,未支付,app,山东
162,5479,2026-03-17 05:31:03,2965.56,已完成,已支付,mini_program,河南
163,1428,2026-03-13 21:56:30,846.75,已支付,已支付,mini_program,广东
164,4393,2026-03-24 17:26:16,1506.06,已支付,已支付,app,北京
165,1761,2026-02-27 19:43:57,93.97,已取消,未支付,mini_program,广东
166,8183,2026-03-25 22:46:09,2244.1,已支付,已支付,web,上海
167,6962,2026-03-17 07:42:23,323.69,已完成,已支付,web,江苏
168,8746,2026-03-23 11:42:27,75.74,已支付,已支付,web,江苏
169,5904,2026-03-04 00:06:42,2350.34,已完成,已支付,app,广东
170,615,2026-03-07 09:59:04,1167.76,已支付,已支付,mini_program,福建
171,2909,2026-03-25 21:06:04,1439.99,已完成,已支付,app,四川
172,4943,2026-03-23 10:44:11,747.88,已支付,已支付,app,湖北
173,185,2026-03-17 10:57:23,233.58,已取消,未支付,mini_program,河南
174,5968,2026-03-18 21:38:59,2429.34,已取消,未支付,app,浙江
175,208,2026-03-17 22:28:45,735.55,已完成,已支付,mini_program,福建
176,1476,2026-03-20 03:50:15,2365.65,已完成,已支付,web,湖北
177,3727,2026-03-14 09:44:02,1904.93,已退款,已退款,app,湖北
178,2240,2026-03-19 01:49:54,404.19,已支付,已支付,mini_program,浙江
179,8785,2026-03-23 18:54:25,1776.82,已完成,已支付,app,上海
180,3393,2026-03-24 05:04:00,1605.69,已取消,未支付,app,北京
181,2698,2026-03-15 22:44:54,2775.69,已支付,已支付,web,四川
182,5723,2026-03-13 21:21:16,1821.64,已取消,未支付,app,江苏
183,7719,2026-03-25 11:43:54,1281.94,待支付,未支付,app,湖北
184,6371,2026-03-18 03:25:40,486.78,已取消,未支付,web,河南
185,8294,2026-03-13 21:33:18,1739.65,已支付,已支付,mini_program,四川
186,8575,2026-03-20 21:29:51,805.52,已支付,已支付,mini_program,广东
187,7993,2026-03-24 20:12:03,1612.39,待支付,未支付,web,江苏
188,3870,2026-03-23 05:15:14,1536.9,已取消,未支付,app,山东
189,4222,2026-03-13 23:27:38,1732.5,已取消,未支付,app,广东
190,7173,2026-02-28 11:44:04,931.05,待支付,未支付,app,四川
191,4086,2026-03-20 19:04:33,2022.12,已完成,已支付,app,上海
192,3485,2026-03-20 01:29:15,68.01,已支付,已支付,app,广东
193,8539,2026-03-25 11:30:22,713.24,已完成,已支付,app,福建
194,7671,2026-03-16 15:49:52,2417.98,已取消,未支付,mini_program,山东
195,2932,2026-03-04 14:03:39,39.04,已取消,未支付,web,福建
196,2730,2026-03-23 14:44:23,1084.99,待支付,未支付,web,四川
197,319,2026-03-25 07:11:07,136.84,已取消,未支付,app,河南
198,3138,2026-03-24 18:24:46,1776.33,已取消,未支付,app,浙江
199,5495,2026-03-05 13:24:40,2235.58,已支付,已支付,app,湖北
200,9527,2026-03-19 18:51:29,1250.17,已取消,未支付,web,湖北
201,7293,2026-03-22 00:12:43,138.98,已完成,已支付,app,江苏
202,3461,2026-03-23 10:32:11,1594.37,已支付,已支付,web,湖北
203,4258,2026-03-12 15:12:58,2480.79,已退款,已退款,app,四川
204,2296,2026-03-25 11:15:10,2251.43,已支付,已支付,app,江苏
205,3042,2026-03-23 20:22:07,353.34,已完成,已支付,mini_program,山东
206,8014,2026-03-13 03:00:07,434.77,已取消,未支付,app,河南
207,4551,2026-03-25 08:20:20,1878.42,待支付,未支付,mini_program,江苏
208,7334,2026-03-15 17:02:30,164.98,已支付,已支付,mini_program,广东
209,1789,2026-03-04 22:27:13,2356.38,已支付,已支付,web,河南
