payment_id,order_id,user_id,payment_time,payment_amount,payment_method,payment_status
1,4,9533,2026-03-18 10:09:40,931.32,alipay,支付成功
2,6,851,2026-03-12 21:37:03,1468.97,alipay,支付成功
3,7,9365,2026-03-20 22:01:57,1768.25,bank_card,支付成功
4,8,5993,2026-03-20 22:51:46,2042.34,wechat,支付成功
5,9,6321,2026-03-08 16:13:15,436.2,alipay,支付成功
6,12,7726,2026-03-12 03:26:59,84.48,alipay,支付成功
7,14,5996,2026-03-12 15:40:08,1006.09,alipay,支付成功
8,16,6606,2026-03-25 14:19:29,1989.53,wechat,支付成功
9,17,8493,2026-03-14 23:20:28,2777.07,wechat,支付成功
10,19,9285,2026-03-25 05:28:42,920.62,bank_card,支付成功
11,20,3934,2026-03-19 01:31:17,1470.16,alipay,支付成功
12,21,7882,2026-03-18 04:44:25,2623.25,wechat,支付成功
13,22,4287,2026-03-12 08:15:32,2513.84,wechat,支付成功
14,23,4783,2026-03-21 17:05:00,1331.22,wechat,支付成功
15,24,7824,2026-03-26 01:45:12,1639.45,alipay,支付成功
16,25,3466,2026-03-26 07:13:04,2813.0,alipay,支付成功
17,26,1287,2026-03-12 06:34:42,638.03,bank_card,支付成功
18,27,6330,2026-03-20 07:58:48,786.69,alipay,支付成功
19,28,560,2026-03-26 01:17:07,2851.32,wechat,支付成功
20,29,9566,2026-03-18 13:11:07,704.28,alipay,已退款
21,30,2881,2026-03-17 19:11:55,1263.76,wechat,支付成功
22,32,7062,2026-03-25 15:12:10,2917.33,wechat,支付成功
23,34,7556,2026-03-25 07:56:18,2322.7,bank_card,支付成功
24,35,8837,2026-03-23 08:02:07,1644.45,bank_card,支付成功
25,36,632,2026-03-26 12:23:46,436.24,wechat,支付成功
26,37,4185,2026-03-26 00:31:05,311.96,alipay,支付成功
27,38,9819,2026-03-22 11:05:40,1274.13,alipay,支付成功
28,40,3525,2026-03-10 14:55:03,2294.79,bank_card,支付成功
29,41,1995,2026-03-12 17:52:20,2477.89,wechat,支付成功
30,42,8966,2026-03-06 10:43:25,1246.87,bank_card,支付成功
31,43,7093,2026-03-12 21:08:17,55.81,alipay,支付成功
32,45,3502,2026-02-26 22:25:03,1840.61,wechat,支付成功
33,46,5138,2026-03-25 15:34:53,393.15,alipay,支付成功
34,47,7330,2026-03-26 10:53:34,1501.93,bank_card,支付成功
35,48,9218,2026-03-10 11:17:35,2381.42,alipay,支付成功
36,49,4798,2026-03-04 15:22:03,592.78,wechat,支付成功
37,50,8509,2026-03-23 14:09:58,287.82,bank_card,支付成功
38,51,7164,2026-03-20 11:56:10,1622.36,alipay,支付成功
39,52,2969,2026-03-11 10:28:18,132.69,wechat,支付成功
40,53,9308,2026-03-19 11:51:14,2020.46,wechat,支付成功
41,54,8539,2026-03-25 04:57:51,1036.97,wechat,支付成功
42,55,8078,2026-03-16 18:04:36,2535.56,alipay,支付成功
43,57,7001,2026-03-06 16:34:45,2660.04,alipay,支付成功
44,58,1436,2026-03-21 14:34:09,1086.56,bank_card,支付成功
45,59,2211,2026-03-18 23:07:21,1830.7,wechat,支付成功
46,60,4430,2026-03-22 10:16:54,2315.42,alipay,支付成功
